epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5596,1.06082,1.78585,0.00546,0.00476,0.04739,0.00261,0.00043,4.9674,3.66141,0.02968,0.000164062,0.000164062,0.0673516
2,41.9429,1.01773,1.17,0.00525,0.01803,0.04739,0.0062,0.00122,4.77014,2.75771,0.02683,0.000324181,0.000324181,0.0341783
3,56.6867,0.99066,1.02732,0.00514,0.0497,0.09479,0.01842,0.00411,4.2719,3.25477,0.02117,0.000477699,0.000477699,0.000998532
4,75.1569,0.9732,0.98544,0.00505,0.0648,0.12322,0.02981,0.00763,4.01521,3.18107,0.01872,0.0004703,0.0004703,0.0004703
5,94.2225,0.93129,0.94971,0.00485,0.06197,0.15166,0.0319,0.00792,3.89234,3.21913,0.0177,0.0004604,0.0004604,0.0004604
6,107.195,0.82907,0.97063,0.00424,0.02904,0.18009,0.01885,0.00527,3.77524,4.28057,0.0167,0.0004505,0.0004505,0.0004505
7,119.172,0.77074,0.81434,0.00396,0.02333,0.23223,0.01541,0.00411,3.7871,3.83132,0.01681,0.0004406,0.0004406,0.0004406
8,135.979,0.76969,0.70893,0.0039,0.0219,0.21801,0.01469,0.00353,3.81612,3.83256,0.01689,0.0004307,0.0004307,0.0004307
9,149.964,0.77241,0.67879,0.00394,0.02857,0.28436,0.01971,0.00528,3.75963,3.84736,0.01673,0.0004208,0.0004208,0.0004208
10,163.361,0.76234,0.64716,0.00387,0.03048,0.30332,0.02147,0.00626,3.71554,3.78452,0.01649,0.0004109,0.0004109,0.0004109
11,177.165,0.76115,0.62512,0.00389,0.03429,0.34123,0.02615,0.00804,3.58981,3.8103,0.01559,0.000401,0.000401,0.000401
12,188.652,0.75935,0.60239,0.00379,0.03619,0.36019,0.0287,0.00901,3.50503,4.05497,0.01487,0.0003911,0.0003911,0.0003911
13,199.994,0.76128,0.59859,0.00383,0.04758,0.38389,0.0345,0.00997,3.48158,3.75903,0.0146,0.0003812,0.0003812,0.0003812
14,211.288,0.75515,0.57638,0.00382,0.03952,0.39336,0.03261,0.01005,3.48139,3.81029,0.01479,0.0003713,0.0003713,0.0003713
15,222.676,0.76443,0.57554,0.00384,0.06486,0.36019,0.04828,0.01308,3.33621,3.50975,0.01347,0.0003614,0.0003614,0.0003614
16,234.02,0.75908,0.56633,0.00381,0.08075,0.32701,0.05851,0.01659,3.19183,3.27707,0.01244,0.0003515,0.0003515,0.0003515
17,245.327,0.75692,0.55077,0.00383,0.0745,0.30806,0.05331,0.01433,3.3194,3.35046,0.01357,0.0003416,0.0003416,0.0003416
18,256.782,0.7573,0.55403,0.00386,0.09327,0.37441,0.07045,0.01909,3.21043,3.04015,0.01262,0.0003317,0.0003317,0.0003317
19,268.092,0.75802,0.5485,0.00381,0.08481,0.36493,0.06149,0.0173,3.1863,3.2456,0.01255,0.0003218,0.0003218,0.0003218
20,279.458,0.75348,0.53859,0.00377,0.09772,0.3981,0.07101,0.01992,3.10353,3.12536,0.01197,0.0003119,0.0003119,0.0003119
21,291.827,0.75491,0.53219,0.00379,0.09658,0.39336,0.07152,0.02032,3.08022,3.04687,0.01187,0.000302,0.000302,0.000302
22,307.062,0.7514,0.53277,0.00375,0.10138,0.40758,0.07381,0.02054,3.08599,3.10523,0.01192,0.0002921,0.0002921,0.0002921
23,320.582,0.75416,0.52964,0.0038,0.12155,0.45498,0.09349,0.0282,2.86539,2.86192,0.01057,0.0002822,0.0002822,0.0002822
24,334.576,0.74714,0.52389,0.00381,0.11919,0.45024,0.08894,0.0271,2.86592,2.87203,0.01063,0.0002723,0.0002723,0.0002723
25,346.721,0.74956,0.52344,0.00379,0.13228,0.45972,0.10334,0.03098,2.83456,2.73187,0.01045,0.0002624,0.0002624,0.0002624
26,360.294,0.75206,0.52057,0.00375,0.13194,0.47867,0.10204,0.03013,2.83041,2.77911,0.01044,0.0002525,0.0002525,0.0002525
27,375.176,0.75374,0.52141,0.00378,0.15158,0.50711,0.12216,0.03594,2.77254,2.58639,0.00999,0.0002426,0.0002426,0.0002426
28,387.336,0.75174,0.52006,0.00376,0.16337,0.51659,0.12759,0.03788,2.72775,2.61355,0.00973,0.0002327,0.0002327,0.0002327
29,399.365,0.7474,0.51342,0.00376,0.15868,0.51659,0.12292,0.03838,2.70197,2.61558,0.00957,0.0002228,0.0002228,0.0002228
30,412.955,0.75211,0.51407,0.00382,0.1741,0.5435,0.14124,0.0425,2.68992,2.4511,0.00919,0.0002129,0.0002129,0.0002129
31,426.638,0.74505,0.50822,0.00373,0.1867,0.53555,0.15359,0.04485,2.65936,2.43764,0.00917,0.000203,0.000203,0.000203
32,440.281,0.74588,0.50927,0.00379,0.18731,0.52607,0.14853,0.04408,2.67208,2.45172,0.00932,0.0001931,0.0001931,0.0001931
33,454.637,0.74601,0.50589,0.00378,0.18648,0.53081,0.15319,0.04655,2.6374,2.42024,0.00901,0.0001832,0.0001832,0.0001832
34,468.874,0.74989,0.50547,0.00375,0.20197,0.53375,0.16196,0.04848,2.63918,2.33255,0.00895,0.0001733,0.0001733,0.0001733
35,481.889,0.74485,0.50032,0.00371,0.18845,0.54976,0.15289,0.04618,2.63991,2.35253,0.00899,0.0001634,0.0001634,0.0001634
36,495.037,0.74302,0.50177,0.00377,0.20857,0.56398,0.16818,0.05224,2.61462,2.24757,0.00888,0.0001535,0.0001535,0.0001535
37,508.434,0.74537,0.49921,0.00372,0.20946,0.54502,0.1714,0.05238,2.61866,2.23841,0.00886,0.0001436,0.0001436,0.0001436
38,521.57,0.74622,0.50894,0.00377,0.21293,0.52133,0.17642,0.05304,2.62623,2.20755,0.0088,0.0001337,0.0001337,0.0001337
39,535.002,0.75037,0.50467,0.00373,0.21526,0.51659,0.1849,0.05355,2.62109,2.18196,0.00871,0.0001238,0.0001238,0.0001238
40,548.161,0.74945,0.50769,0.00379,0.21431,0.50711,0.18187,0.05372,2.63071,2.19054,0.00875,0.0001139,0.0001139,0.0001139
41,586.316,0.7527,0.50171,0.00369,0.21899,0.53081,0.18473,0.05331,2.6283,2.20982,0.00869,0.000104,0.000104,0.000104
42,600.083,0.74879,0.49324,0.00373,0.21985,0.52356,0.1892,0.0544,2.62244,2.15486,0.00866,9.41e-05,9.41e-05,9.41e-05
43,613.5,0.74289,0.4969,0.00375,0.22218,0.53555,0.18863,0.05692,2.6025,2.167,0.00865,8.42e-05,8.42e-05,8.42e-05
44,627.065,0.74539,0.49699,0.00373,0.22141,0.53081,0.18887,0.05714,2.59952,2.16288,0.0086,7.43e-05,7.43e-05,7.43e-05
45,639.663,0.74219,0.49515,0.00372,0.22238,0.51659,0.19391,0.05752,2.59911,2.14265,0.00864,6.44e-05,6.44e-05,6.44e-05
46,652.929,0.74522,0.49758,0.00377,0.22526,0.52133,0.19474,0.05855,2.58129,2.12461,0.00855,5.45e-05,5.45e-05,5.45e-05
47,666.652,0.74802,0.50158,0.00372,0.23447,0.52546,0.20059,0.05932,2.58907,2.11884,0.00852,4.46e-05,4.46e-05,4.46e-05
48,681.721,0.74369,0.49436,0.00377,0.23224,0.52607,0.19851,0.05892,2.58335,2.15163,0.00853,3.47e-05,3.47e-05,3.47e-05
49,696.46,0.75022,0.50471,0.00378,0.23111,0.54502,0.19734,0.05945,2.58425,2.1308,0.00855,2.48e-05,2.48e-05,2.48e-05
50,712.692,0.74295,0.50318,0.00377,0.23357,0.54028,0.19997,0.06004,2.5868,2.11311,0.00857,1.49e-05,1.49e-05,1.49e-05
