epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3453,1.34392,4.99159,0.00644,0.16088,0.02553,0.00413,0.00196,1.74381,5.33277,0.00973,0.00331865,0.00331865,0.0701322
2,163.147,1.26395,3.89876,0.00595,0.05058,0.15303,0.05555,0.03719,1.31113,4.81523,0.00731,0.00658613,0.00658613,0.0400663
3,236.083,1.21465,3.38603,0.00579,0.06032,0.15822,0.07199,0.04404,1.60268,5.24486,0.00894,0.00978761,0.00978761,0.00993445
4,311.68,1.15516,2.99772,0.0055,0.32307,0.27138,0.17376,0.11948,1.18463,3.27742,0.00664,0.009703,0.009703,0.009703
5,386.846,1.13302,2.71884,0.00535,0.35896,0.30706,0.20904,0.13308,1.45917,3.05861,0.00815,0.009604,0.009604,0.009604
6,462.811,1.1048,2.47394,0.00517,0.41302,0.41828,0.34892,0.24657,1.09754,2.39542,0.00605,0.009505,0.009505,0.009505
7,537.442,1.09033,2.27005,0.00517,0.4641,0.48107,0.42376,0.28348,1.20798,2.20959,0.00666,0.009406,0.009406,0.009406
8,611.894,1.07468,2.10321,0.00504,0.44605,0.46318,0.41814,0.23055,1.6684,2.22878,0.00939,0.009307,0.009307,0.009307
9,685.929,1.06012,2.06948,0.00499,0.43856,0.47235,0.44081,0.32757,0.9874,1.99288,0.00541,0.009208,0.009208,0.009208
10,760.47,1.05363,2.01356,0.00491,0.40536,0.42975,0.38173,0.25309,1.37176,2.29976,0.00768,0.009109,0.009109,0.009109
11,835.759,1.06695,1.95452,0.00502,0.46463,0.50993,0.47614,0.33853,1.18302,1.94507,0.00655,0.00901,0.00901,0.00901
12,910.097,1.02284,1.87562,0.00479,0.56221,0.55775,0.58063,0.41779,1.05952,1.68621,0.00583,0.008911,0.008911,0.008911
13,983.964,1.03056,1.82037,0.00479,0.49581,0.51339,0.48397,0.2396,1.83041,2.15949,0.0103,0.008812,0.008812,0.008812
14,1058.6,1.02233,1.79511,0.00474,0.59914,0.61015,0.63781,0.45208,1.08587,1.53031,0.00596,0.008713,0.008713,0.008713
15,1133.92,1.01586,1.77563,0.00476,0.54133,0.52681,0.54396,0.35443,1.38134,1.77591,0.00775,0.008614,0.008614,0.008614
16,1208.92,1.01345,1.72477,0.00471,0.62736,0.63985,0.67477,0.5259,0.90974,1.3048,0.00498,0.008515,0.008515,0.008515
17,1283.83,0.98916,1.67001,0.00464,0.58878,0.62173,0.64253,0.47747,1.01537,1.43625,0.00558,0.008416,0.008416,0.008416
18,1358.77,0.99836,1.69959,0.00466,0.48746,0.42527,0.41824,0.20967,1.97978,2.25327,0.01125,0.008317,0.008317,0.008317
19,1433.42,0.97742,1.67154,0.00455,0.56081,0.59441,0.61153,0.48502,0.87604,1.51764,0.00479,0.008218,0.008218,0.008218
20,1506.63,0.98374,1.6473,0.0046,0.58458,0.60025,0.6202,0.45727,1.03762,1.51353,0.00572,0.008119,0.008119,0.008119
21,1579.4,0.99104,1.62232,0.00462,0.6624,0.6761,0.71364,0.51372,1.08017,1.2634,0.00595,0.00802,0.00802,0.00802
22,1655.04,0.96918,1.5814,0.00452,0.6128,0.62209,0.65331,0.4847,0.99471,1.48146,0.00544,0.007921,0.007921,0.007921
23,1729.6,0.96592,1.58918,0.00451,0.54565,0.52661,0.53758,0.39042,1.09527,1.81583,0.00604,0.007822,0.007822,0.007822
24,1805.6,0.98095,1.58092,0.00446,0.64785,0.64811,0.67351,0.48259,1.11088,1.36882,0.00602,0.007723,0.007723,0.007723
25,1880.64,0.95947,1.51153,0.00437,0.63082,0.6106,0.65115,0.44316,1.2349,1.42936,0.00678,0.007624,0.007624,0.007624
26,1955.06,0.97113,1.5009,0.00441,0.56278,0.51602,0.54619,0.35456,1.40929,1.77969,0.00781,0.007525,0.007525,0.007525
27,2028.32,0.95319,1.47061,0.00432,0.65808,0.60717,0.66693,0.45824,1.18401,1.43908,0.00645,0.007426,0.007426,0.007426
28,2102.55,0.95325,1.46752,0.00427,0.59515,0.55929,0.58375,0.35408,1.61476,1.72325,0.009,0.007327,0.007327,0.007327
29,2173.59,0.96363,1.47682,0.00439,0.66463,0.67379,0.71304,0.52183,1.05703,1.24374,0.00574,0.007228,0.007228,0.007228
30,2253.42,0.95057,1.41349,0.00434,0.68013,0.66669,0.70867,0.54924,0.93339,1.21074,0.00501,0.007129,0.007129,0.007129
31,2350.17,0.94714,1.39679,0.0043,0.64955,0.61274,0.6544,0.40815,1.45471,1.41293,0.00808,0.00703,0.00703,0.00703
32,2423.21,0.93317,1.36198,0.00423,0.69824,0.70885,0.75108,0.58125,0.8969,1.08639,0.00481,0.006931,0.006931,0.006931
